Constituency,Const. No.,Leading Candidate,Leading Party,Trailing Candidate,Trailing Party,Margin,Round,Status
SIVAKASI,205,RAJENTHRABHALAJI K T,All India Anna Dravida Munnetra Kazhagam,KEERTHANA S,Tamilaga Vettri Kazhagam,63,6/21,Result in Progress
SRIPERUMBUDUR,29,THENNARASU.K,Tamilaga Vettri Kazhagam,K. SELVAPERUNTHAGAI,Indian National Congress,20017,12/32,Result in Progress
SRIRANGAM,139,RAMESH,Tamilaga Vettri Kazhagam,R.MANOHARAN,All India Anna Dravida Munnetra Kazhagam,9213,8/27,Result in Progress
SRIVAIKUNTAM,216,SHANMUGANATHAN. S. P,All India Anna Dravida Munnetra Kazhagam,SARAVANAN. G,Tamilaga Vettri Kazhagam,652,16/21,Result in Progress
SRIVILLIPUTHUR,203,MAHALINGAM.P,Communist Party of India,KARTHIK.A,Tamilaga Vettri Kazhagam,4697,7/22,Result in Progress
SULUR,116,NM.SUKUMAR,Tamilaga Vettri Kazhagam,THALAPATHY MURUGESAN,Dravida Munnetra Kazhagam,8726,12/28,Result in Progress
TAMBARAM,31,D.SARATHKUMAR,Tamilaga Vettri Kazhagam,R.S.KIRUTHIKA DEVI,Dravida Munnetra Kazhagam,17063,20/34,Result in Progress
TENKASI,222,DR.KALAI KATHIRAVAN,Dravida Munnetra Kazhagam,S.SELVA MOHANDAS PANDIAN,All India Anna Dravida Munnetra Kazhagam,7451,12/26,Result in Progress
THALLI,56,RAMACHANDRAN. T,Communist Party of India,DR.NAGESH KUMAR. C,Bharatiya Janata Party,608,9/24,Result in Progress
THANJAVUR,174,R. VIJAYSARAVANAN,Tamilaga Vettri Kazhagam,SHAN. RAMANATHAN,Dravida Munnetra Kazhagam,16692,21/23,Result in Progress
THIRU-VI-KA-NAGAR,15,M. R. PALLAVI,Tamilaga Vettri Kazhagam,K. S. RAVICHANDRAN,Dravida Munnetra Kazhagam,17033,12/17,Result in Progress
THIRUMANGALAM,196,MANIMARAN.M,Dravida Munnetra Kazhagam,SATHISHKUMAR.N,Tamilaga Vettri Kazhagam,10764,16/26,Result in Progress
THIRUMAYAM,181,REGUPATHY.S,Dravida Munnetra Kazhagam,VAIRAMUTHU.PK,All India Anna Dravida Munnetra Kazhagam,1774,6/22,Result in Progress
THIRUPARANKUNDRAM,195,NIRMALKUMAR. R.,Tamilaga Vettri Kazhagam,KIRUTHIGA THANGAPANDI,Dravida Munnetra Kazhagam,15346,12/26,Result in Progress
THIRUPORUR,33,B.VIJAYARAJ,Tamilaga Vettri Kazhagam,R. PANNEERDOSS,Viduthalai Chiruthaigal Katchi,20856,11/29,Result in Progress
THIRUTHURAIPOONDI,166,MARIMUTHU.K,Communist Party of India,PANDIYAN.S,Tamilaga Vettri Kazhagam,7003,13/21,Result in Progress
THIRUVAIYARU,173,DURAI. CHANDRASEKARAN,Dravida Munnetra Kazhagam,MATHI. MANIKANDAN,Tamilaga Vettri Kazhagam,5336,8/25,Result in Progress
THIRUVALLUR,4,DR. T. ARUNKUMAR,Tamilaga Vettri Kazhagam,V.G. RAAJENDRAN,Dravida Munnetra Kazhagam,9141,13/24,Result in Progress
THIRUVARUR,168,KALAIVANAN POONDI K,Dravida Munnetra Kazhagam,VEERAMANI V,Tamilaga Vettri Kazhagam,14874,21/24,Result in Progress
THIRUVERUMBUR,142,VIJAYAKUMAR (A) NAVALPATTU S. VIJI,Tamilaga Vettri Kazhagam,ANBIL MAHESH POYYAMOZHI,Dravida Munnetra Kazhagam,1077,8/23,Result in Progress
THIRUVIDAIMARUDUR,170,GOVI.CHEZHIAAN,Dravida Munnetra Kazhagam,S.PRABAKARAN,Tamilaga Vettri Kazhagam,8162,11/24,Result in Progress
THIRUVOTTIYUR,10,SENTHIL KUMAR. N,Tamilaga Vettri Kazhagam,SUNDARARAJ. L,Communist Party of India (Marxist),27799,12/25,Result in Progress
THIYAGARAYANAGAR,24,ANAND N,Tamilaga Vettri Kazhagam,RAJA ANBAZHAGAN,Dravida Munnetra Kazhagam,10721,12/18,Result in Progress
THONDAMUTHUR,119,S.P.VELUMANI,All India Anna Dravida Munnetra Kazhagam,SATHISH RAJU (ALIAS) K.P.R. SATHISH,Tamilaga Vettri Kazhagam,14946,10/27,Result in Progress
THOOTHUKKUDI,214,SRINATH,Tamilaga Vettri Kazhagam,P. GEETHA JEEVAN,Dravida Munnetra Kazhagam,23166,14/26,Result in Progress
THOUSAND LIGHTS,20,PRABHAKAR.J.C.D,Tamilaga Vettri Kazhagam,EZHILAN NAGANATHAN,Dravida Munnetra Kazhagam,3887,7/18,Result in Progress
THURAIYUR,146,RAVISANKAR.M,Tamilaga Vettri Kazhagam,E.SAROJA,All India Anna Dravida Munnetra Kazhagam,3801,13/22,Result in Progress
TINDIVANAM,72,ARJUNAN. P,All India Anna Dravida Munnetra Kazhagam,VANNI ARASU,Viduthalai Chiruthaigal Katchi,2048,9/21,Result in Progress
TIRUCHENDUR,215,ANITHA R. RADHAKRISHNAN,Dravida Munnetra Kazhagam,J. MURUGAN,Tamilaga Vettri Kazhagam,7580,15/22,Result in Progress
TIRUCHENGODU,96,ARUNRAJ K G,Tamilaga Vettri Kazhagam,SRMT SEKAR (A) CHANDRASEKAR R,All India Anna Dravida Munnetra Kazhagam,5443,8/21,Result in Progress
TIRUCHIRAPPALLI (EAST),141,C. JOSEPH VIJAY,Tamilaga Vettri Kazhagam,S. INIGO IRUDAYARAJ,Dravida Munnetra Kazhagam,13500,9/22,Result in Progress
TIRUCHIRAPPALLI (WEST),140,K.N.NEHRU,Dravida Munnetra Kazhagam,G.RAMAMOORTHI,Tamilaga Vettri Kazhagam,5286,20/24,Result in Progress
TIRUCHULI,208,THANGAM THENARASU,Dravida Munnetra Kazhagam,SAMAYAN.S,Tamilaga Vettri Kazhagam,1914,7/21,Result in Progress
TIRUKKOYILUR,76,VIJAY R BARANIBALAAJI,Tamilaga Vettri Kazhagam,PALANISAMY S,All India Anna Dravida Munnetra Kazhagam,335,11/24,Result in Progress
TIRUNELVELI,224,MURUGHAN.R.S.,Tamilaga Vettri Kazhagam,SUBRAMANIAN.S,Dravida Munnetra Kazhagam,5718,19/28,Result in Progress
TIRUPPATTUR,50,DR.THIRUPATHI. N,Tamilaga Vettri Kazhagam,NALLATHAMBI. A,Dravida Munnetra Kazhagam,12445,7/22,Result in Progress
TIRUPPATTUR,185,PERIAKARUPPAN. KR,Dravida Munnetra Kazhagam,SEENIVASA SETHUPATHY. R,Tamilaga Vettri Kazhagam,4157,11/27,Result in Progress
TIRUPPUR (NORTH),113,V.SATHYABAMA,Tamilaga Vettri Kazhagam,M.S.M.ANANDAN,All India Anna Dravida Munnetra Kazhagam,28543,12/32,Result in Progress
TIRUPPUR (SOUTH),114,BALAMURUGAN. S,Tamilaga Vettri Kazhagam,DINESHKUMAR. N,Dravida Munnetra Kazhagam,12273,10/21,Result in Progress
TIRUTTANI,3,G.HARI,All India Anna Dravida Munnetra Kazhagam,M.SATHYA KUMAR,Tamilaga Vettri Kazhagam,4588,10/25,Result in Progress
TIRUVADANAI,210,M.KEERTHIKA,All India Anna Dravida Munnetra Kazhagam,RAJEEV,Tamilaga Vettri Kazhagam,482,16/27,Result in Progress
TIRUVANNAMALAI,63,ARUL ARUMUGAM,Tamilaga Vettri Kazhagam,VELU. E.V,Dravida Munnetra Kazhagam,1107,9/23,Result in Progress
TITTAKUDI,151,GANESAN C.V,Dravida Munnetra Kazhagam,RAJASEKAR A,Tamilaga Vettri Kazhagam,2253,8/20,Result in Progress
UDHAGAMANDALAM,108,BHOJARAJAN.M,Bharatiya Janata Party,IBRAHIM.R,Tamilaga Vettri Kazhagam,189,17/19,Result in Progress
UDUMALAIPETTAI,125,RADHAKRISHNAN K.,All India Anna Dravida Munnetra Kazhagam,JAYAKUMAR M.,Dravida Munnetra Kazhagam,3400,13/22,Result in Progress
ULUNDURPETTAI,77,KUMARAGURU R,All India Anna Dravida Munnetra Kazhagam,VASANTHAVEL G R,Dravida Munnetra Kazhagam,38,9/27,Result in Progress
USILAMPATTI,197,VIJAY. M,Tamilaga Vettri Kazhagam,MAHENDRAN. I,All India Anna Dravida Munnetra Kazhagam,2491,8/25,Result in Progress
UTHANGARAI,51,N ELAIYARAJA,Tamilaga Vettri Kazhagam,T M TAMILSELVAM,All India Anna Dravida Munnetra Kazhagam,3268,15/23,Result in Progress
UTHIRAMERUR,36,MUNIRATHINAM.J,Tamilaga Vettri Kazhagam,SUNDAR.K,Dravida Munnetra Kazhagam,13518,14/23,Result in Progress
VALPARAI,124,KUTTY (ALIAS) SUDHAKAR. A,Dravida Munnetra Kazhagam,DR. SRIDHARAN. A,Tamilaga Vettri Kazhagam,7910,17/18,Result in Progress
VANDAVASI,69,AMBETHKUMAR. S,Dravida Munnetra Kazhagam,UDHAYAKUMAR. M,Tamilaga Vettri Kazhagam,3759,11/21,Result in Progress
VANIYAMBADI,47,SYED FAROOQ BASHA SSB,Indian Union Muslim League,SYED BHURHANUDEEN,Tamilaga Vettri Kazhagam,9343,18/23,Result in Progress
VANUR,73,GOWTHAM D,Dravida Munnetra Kazhagam,SURESH P,Tamilaga Vettri Kazhagam,1943,10/22,Result in Progress
VASUDEVANALLUR,220,E. RAJA,Dravida Munnetra Kazhagam,ANANTHAN AYYASAMY,Bharatiya Janata Party,6277,13/23,Result in Progress
VEDARANYAM,165,MANIAN. O.S,All India Anna Dravida Munnetra Kazhagam,PUGAZHENDI. M,Dravida Munnetra Kazhagam,6619,10/18,Result in Progress
VEDASANDUR,133,SAMINATHAN. T,Dravida Munnetra Kazhagam,PARAMASIVAM. V.P.B.,All India Anna Dravida Munnetra Kazhagam,6272,11/24,Result in Progress
VEERAPANDI,91,PALANIVEL. M.S,Tamilaga Vettri Kazhagam,SRI BALAJI SUGUMAR. S,All India Anna Dravida Munnetra Kazhagam,3120,12/23,Result in Progress
VELACHERY,26,KUMAR. R,Tamilaga Vettri Kazhagam,AASSAN MAULAANA J.M.H,Indian National Congress,21068,12/23,Result in Progress
VELLORE,43,P.KARTHIKEYAN,Dravida Munnetra Kazhagam,M.M.VINOTH KANNAN,Tamilaga Vettri Kazhagam,4058,10/20,Result in Progress
VEPPANAHALLI,54,MUNUSAMY.K.P,All India Anna Dravida Munnetra Kazhagam,SRINIVASAN.P.S,Dravida Munnetra Kazhagam,2533,13/25,Result in Progress
VIKRAVANDI,75,SIVAKUMAR C,Pattali Makkal Katchi,VIJAI VADIVEL A,Tamilaga Vettri Kazhagam,102,6/23,Result in Progress
VILATHIKULAM,213,MARKANDAYAN G V,Dravida Munnetra Kazhagam,P. KASIRAM,Tamilaga Vettri Kazhagam,4570,12/20,Result in Progress
VILAVANCODE,233,PRAVEEN T.T,Indian National Congress,MICHAEL KUMAR K,Tamilaga Vettri Kazhagam,13237,11/22,Result in Progress
VILLIVAKKAM,14,AADHAV ARJUNA,Tamilaga Vettri Kazhagam,KARTHIK MOHAN,Dravida Munnetra Kazhagam,10330,11/19,Result in Progress
VILUPPURAM,74,LAKSHMANAN R,Dravida Munnetra Kazhagam,MOHANRAJ N,Tamilaga Vettri Kazhagam,1478,13/24,Result in Progress
VIRALIMALAI,179,VIJAYABASKAR. C,All India Anna Dravida Munnetra Kazhagam,MURUGESAN. P,Tamilaga Vettri Kazhagam,23773,8/20,Result in Progress
VIRUDHUNAGAR,206,SELVAM P,Tamilaga Vettri Kazhagam,VIJAYAPRABHAKAR,Desiya Murpokku Dravida Kazhagam,1970,10/21,Result in Progress
VIRUGAMPAKKAM,22,SABARINATHAN.R,Tamilaga Vettri Kazhagam,PRABHAKARA RAJA.A.M.V,Dravida Munnetra Kazhagam,9056,9/23,Result in Progress
VRIDDHACHALAM,152,PREMALLATHA VIJAYAKANT,Desiya Murpokku Dravida Kazhagam,VIJAY.S,Tamilaga Vettri Kazhagam,2466,13/23,Result in Progress
YERCAUD,83,LAKSHMI JANARTHANAN. J,Tamilaga Vettri Kazhagam,USHARANI. P,All India Anna Dravida Munnetra Kazhagam,2668,9/24,Result in Progress
